place,t2,t3,t4,t5,t6,,,
201,10,30,50,70,90,,,
301,30,10,30,50,70,,,
t2,0,24,39,53,67,,,
t3,24,0,24,39,53,,,
t4,39,24,0,24,39,,,
t5,53,39,24,0,24,,,
t6,67,53,39,24,0,,,
